on x=-44..7,y=-48..-4,z=-28..22
on x=-5439..29218,y=40801..61745,z=-73755..-42460
on x=66499..87188,y=-47632..-14352,z=-2835..27458
on x=6077..20827,y=59218..81594,z=22627..42843
on x=-76720..-44054,y=-58925..-27476,z=13431..37577
on x=-67945..-52903,y=-59540..-48436,z=-3959..28890
on x=63669..81588,y=3522..24426,z=-13019..4078
on x=66389..80203,y=7859..36184,z=-21763..5299
on x=8985..37402,y=67471..77806,z=23845..39004
on x=-79912..-67840,y=11112..26176,z=13492..41306
on x=9298..39655,y=49448..70324,z=-53552..-37003
on x=5868..25390,y=60778..82461,z=-3147..29756
on x=62208..85012,y=24013..43359,z=-4030..20786
on x=25563..60394,y=-77470..-53600,z=-24444..-10882
on x=-85136..-64905,y=9280..27843,z=-24178..-13919
on x=-46556..-20968,y=61562..77589,z=-55628..-32861
on x=56560..95299,y=-33827..-18248,z=-5634..1038
on x=-49836..-26941,y=-72556..-64453,z=-21395..-5169
on x=-15142..1630,y=29424..55194,z=-80676..-57685
on x=40758..58341,y=-37580..-17953,z=47185..63053
on x=-83532..-54519,y=14164..37120,z=-8060..28402
on x=12818..44502,y=55987..71453,z=-41223..-19473
on x=-4840..2988,y=-65963..-42391,z=43719..69256
on x=-17605..-5232,y=44129..60456,z=-67226..-43598
on x=47446..74934,y=-54664..-29117,z=12932..43430
on x=55486..76987,y=-56915..-46806,z=20053..35664
on x=-32418..-5191,y=-89850..-69798,z=14068..34962
on x=-67032..-37418,y=34844..51405,z=33127..59954
on x=-13655..14693,y=-75994..-50458,z=-72104..-36662
on x=66339..92744,y=-18657..-7726,z=21490..33317
on x=53091..73056,y=36859..60782,z=14612..29840
on x=-44743..-29546,y=41851..61121,z=22465..54041
on x=-9987..1366,y=11297..38316,z=68452..83250
on x=-80587..-54313,y=18931..30390,z=-48007..-36485
on x=-36867..-14328,y=40625..54265,z=-74356..-41512
on x=15699..30877,y=-70192..-46143,z=37310..62324
on x=-71614..-38143,y=-41704..-16440,z=-66155..-38475
on x=-62484..-42887,y=-4231..15340,z=-75961..-45592
on x=46006..67614,y=26585..47989,z=6308..42157
on x=45024..68068,y=-33616..180,z=30942..60664
on x=14301..42992,y=44850..66137,z=-62651..-38951
on x=-5142..13215,y=-47989..-29881,z=-84658..-68851
on x=-15828..12464,y=-85703..-72043,z=-26704..414
on x=-85704..-48060,y=-49145..-21157,z=-29687..-11621
on x=-6374..26062,y=-43479..-21489,z=-75304..-65078
on x=-65088..-40345,y=-70338..-44899,z=-30731..-18492
on x=-33236..-3437,y=-60726..-34937,z=-74647..-56493
on x=-89271..-55975,y=29143..35214,z=-12958..11803
on x=7570..22211,y=-36457..-30528,z=-87550..-52770
on x=-21844..7612,y=-13339..3854,z=63591..80571
on x=62681..80087,y=-15165..-1484,z=-16312..4733
on x=30764..51898,y=-54770..-33399,z=-69113..-49263
on x=-14706..3333,y=-34078..-20149,z=57303..79672
on x=-57882..-46150,y=-2602..5065,z=36801..61301
on x=-6409..4744,y=-23298..-4086,z=77909..82727
on x=28231..50858,y=-25112..1285,z=-82337..-62613
on x=-60169..-35664,y=45331..71566,z=-52986..-27989
on x=16548..37232,y=29641..41926,z=44045..64175
on x=-27530..-5944,y=-54250..-41450,z=48642..63840
on x=-33752..-18800,y=45216..52417,z=-80150..-42007
on x=-46681..-39468,y=27115..51324,z=41263..68851
on x=-77564..-58032,y=1512..31954,z=-29462..-6724
on x=25989..54117,y=-22057..7911,z=54881..74834
on x=69655..77091,y=-36962..-8338,z=-29623..-13034
on x=36547..45906,y=-19538..-1870,z=54069..80852
on x=48119..58288,y=-6195..22597,z=53580..70770
on x=-79230..-45439,y=35671..60446,z=-1874..15269
on x=-8784..1459,y=-31199..64,z=70551..83107
on x=1880..12553,y=34951..52913,z=66407..90779
on x=-65227..-45109,y=-986..23543,z=-56927..-41562
on x=38071..55190,y=-1152..16116,z=52049..80225
on x=-48564..-33827,y=-53997..-37034,z=50494..59423
on x=-3880..15646,y=-95096..-58701,z=487..15462
on x=32448..44054,y=-61760..-31951,z=50025..56984
on x=49465..69635,y=-39603..-22099,z=-52151..-36714
on x=-75231..-49932,y=-60778..-54855,z=-26493..-5370
on x=35578..48084,y=-69596..-41217,z=-55956..-28280
on x=-60448..-49199,y=52341..68896,z=-6151..12805
on x=-72886..-58561,y=-20435..4228,z=25829..48873
on x=-15783..-12488,y=-51668..-27553,z=-86556..-62238
on x=-62994..-42998,y=-80730..-58580,z=-3922..18675
on x=-89876..-67328,y=-33822..-12798,z=-22322..2742
on x=-43015..-21469,y=46582..68250,z=-37517..-14243
on x=-32767..-11037,y=49857..71371,z=15732..34955
on x=2240..21661,y=75578..89677,z=3412..23943
on x=31255..50946,y=-41168..-11233,z=-77667..-54127
on x=32599..65952,y=-35521..-10537,z=-56429..-50415
on x=-60138..-26615,y=-54582..-34921,z=31673..49153
on x=-49673..-35379,y=-69100..-60235,z=-2394..5510
on x=-36015..-13347,y=-12119..14151,z=-91559..-66887
on x=-6323..19724,y=-72320..-61811,z=33324..65911
on x=17080..26758,y=-67136..-36305,z=35911..62171
on x=5223..25662,y=-87359..-62299,z=23568..38676
on x=-74373..-59477,y=-4295..11346,z=36901..64445
on x=-34299..-1928,y=11411..25476,z=-91142..-75962
on x=-16791..12614,y=-67861..-40449,z=-62621..-50416
on x=40128..59229,y=48857..75692,z=-51859..-21998
on x=-57970..-36216,y=-4627..8697,z=57979..63945
on x=24584..35472,y=-54536..-26170,z=51165..69055
on x=-8247..15433,y=-36101..-14888,z=73892..77781
on x=-64933..-48690,y=52625..72716,z=19985..44210
on x=-63835..-52109,y=-17596..-5749,z=-61623..-38639
on x=-3838..6784,y=-72953..-58060,z=41661..66294
on x=50897..78898,y=-25992..-12109,z=-60442..-46049
on x=65788..74812,y=-21111..-6276,z=10823..46399
on x=-27607..-9446,y=34460..63127,z=56809..73065
on x=570..34475,y=61988..72741,z=-45705..-35924
on x=-17462..-8489,y=-8626..8820,z=-84202..-61394
on x=-33944..-15274,y=-89456..-56691,z=-33904..-10998
on x=66413..90344,y=-521..34369,z=-41730..-11324
on x=-49505..-14224,y=48346..60470,z=-65804..-32918
on x=-86096..-65120,y=17671..43220,z=-3906..30656
on x=33742..44358,y=-19983..821,z=58363..74256
on x=68866..75878,y=-34904..-11128,z=-44097..-23351
on x=2783..19415,y=58410..90714,z=-28778..-9588
on x=-75845..-59575,y=-46328..-31294,z=-26730..-5162
on x=28782..29236,y=-70340..-61456,z=29839..49236
on x=43385..51055,y=31802..51803,z=32252..56629
on x=-14424..5130,y=-69167..-53231,z=-59193..-37237
on x=4410..29399,y=-86425..-68804,z=21060..41858
on x=-76543..-49298,y=-1254..13198,z=-62944..-31320
on x=58155..76408,y=3385..33072,z=27931..49984
on x=53285..68227,y=9528..16970,z=38731..70004
on x=-93183..-64817,y=25925..48836,z=-21559..11511
on x=41939..75966,y=34833..66872,z=5453..22174
on x=-27905..-13907,y=66380..77173,z=-30940..-2812
on x=-44965..-36722,y=44845..61282,z=-56311..-30434
on x=-18507..4231,y=51538..82637,z=27243..47809
on x=-22666..-8957,y=-70300..-61956,z=-54272..-23440
on x=-71598..-46251,y=40153..63242,z=23221..53691
on x=38505..60525,y=-58882..-40951,z=14362..23621
on x=-40771..-25170,y=60466..77076,z=-26181..-3203
on x=48443..70795,y=38515..60309,z=-40023..-35935
on x=-64973..-51997,y=4324..24699,z=-66495..-47350
on x=48357..63912,y=24009..51643,z=13119..43197
on x=-59219..-45782,y=32426..53977,z=-56899..-22839
off x=-82601..-62583,y=-29547..-19736,z=10012..44278
off x=21881..52715,y=-75462..-59619,z=-22352..2451
off x=-45464..-31923,y=-84778..-57121,z=-36904..-20487
on x=-88151..-75143,y=-8134..10815,z=11680..22378
on x=-39971..-22009,y=-72573..-47306,z=-56516..-30255
off x=9322..29654,y=-4082..10417,z=-85840..-68364
off x=-72958..-39349,y=-62169..-48603,z=-38569..-2407
on x=6195..28613,y=60609..78035,z=-51100..-35991
on x=-18884..-2782,y=-56445..-48463,z=54414..73962
off x=-34686..-14850,y=31925..70449,z=-77698..-48963
on x=-50659..-28136,y=63604..81082,z=2579..9313
on x=5549..35226,y=69786..72274,z=-37289..-21739
off x=-29792..-6796,y=-81569..-63298,z=19068..40723
off x=44836..79546,y=-22779..3568,z=-66800..-40145
off x=-49270..-30969,y=-3396..25485,z=-78171..-59340
off x=35399..60394,y=-68920..-56505,z=-1293..13695
on x=-7191..-2494,y=-83630..-63883,z=33504..51910
on x=-18980..-14896,y=65339..79062,z=-18683..1270
off x=43093..61831,y=14636..42577,z=-74949..-44384
on x=55863..72523,y=-11248..15275,z=40692..55672
off x=49627..71091,y=-31378..-15169,z=40187..49905
on x=-71583..-61447,y=20612..27406,z=-47136..-22936
off x=-22955..-508,y=-73996..-60313,z=16824..51592
off x=-31772..-17942,y=3692..29348,z=-81806..-61057
off x=-36116..-14323,y=-47112..-21136,z=71357..88454
off x=39462..69248,y=-67362..-37455,z=-46036..-22428
on x=-78767..-56235,y=-31380..-11432,z=19828..51353
on x=-78645..-65106,y=10312..37198,z=2401..24591
on x=6402..40318,y=-16548..2555,z=73595..84063
on x=-55615..-27722,y=49943..68701,z=-28634..-4623
off x=42562..67015,y=35610..46866,z=34070..42249
on x=8843..44449,y=64895..88067,z=18310..35158
on x=52861..75312,y=-17051..2907,z=-53407..-21823
on x=-78385..-62728,y=-21841..5253,z=-47028..-22568
on x=-10495..14623,y=-80377..-59812,z=-34116..-22218
off x=-21996..-2742,y=37228..50250,z=-71033..-60924
on x=56697..77982,y=-7450..3730,z=9771..41652
off x=-67274..-50820,y=-5734..5640,z=-56831..-37003
on x=11030..31524,y=37918..52771,z=-71435..-60852
on x=-83320..-65072,y=-32355..-11917,z=-26967..-18032
on x=-43677..-35148,y=-88398..-69549,z=-23854..1908
on x=-49572..-38348,y=-46258..-17216,z=48043..66417
on x=37384..75100,y=-52354..-42729,z=-43047..-30541
off x=-53861..-35852,y=-5143..18339,z=-83681..-51951
on x=-78236..-64745,y=2378..20167,z=-40012..-25978
on x=34858..54746,y=55821..67805,z=-6400..20512
off x=-82598..-70040,y=12999..27880,z=-28265..-20266
off x=36133..50921,y=57912..79306,z=-24361..-3945
on x=21170..43558,y=59657..62681,z=32050..47374
off x=67304..92012,y=-38797..-25594,z=-17070..-7453
on x=-24303..243,y=-38622..-26360,z=62498..80626
on x=-35395..-1784,y=55251..80783,z=-27257..-8718
on x=21761..37471,y=42320..78924,z=-57570..-23254
off x=51236..81636,y=-15056..9704,z=-62783..-46651
on x=24630..41162,y=-80403..-63498,z=-31775..-7958
on x=-43744..-26951,y=47013..67420,z=-29814..-8102
on x=26603..63444,y=-12214..8779,z=65219..82907
on x=51940..73971,y=-74860..-42866,z=-13886..17671
on x=-92209..-76808,y=-10855..14855,z=7758..11786
off x=8207..16724,y=-67090..-50961,z=43285..49532
on x=-22397..-2482,y=62603..88589,z=-33214..-12265
off x=-78419..-62461,y=-21534..-2157,z=32108..35955
on x=-24006..12481,y=4449..20019,z=-81599..-71932
on x=-40605..-13896,y=-47711..-16365,z=-79247..-53064
on x=832..22273,y=61218..82893,z=-44519..-40600
off x=-29620..-13977,y=-78751..-54304,z=27369..60011
off x=-14823..10317,y=1880..32923,z=-92955..-62132
on x=54354..71905,y=-60825..-35957,z=-30727..-24555
on x=-33573..-29143,y=-72142..-60601,z=4256..27173
off x=41652..57462,y=3208..37256,z=37000..58096
on x=-30305..-14266,y=-69805..-63510,z=-50479..-23537
on x=-49741..-29481,y=19079..42387,z=60359..80724
on x=10590..22833,y=44189..59294,z=46046..66234
off x=27431..42490,y=-53997..-34542,z=52456..80995
on x=53221..89449,y=6997..28317,z=-44585..-14492
on x=46562..65116,y=-54532..-37162,z=-56535..-32017
on x=-42384..-12585,y=-70810..-55699,z=45949..64203
off x=-77739..-63412,y=-41149..-14305,z=27531..47698
on x=10915..16415,y=-80296..-72044,z=-36080..-7043
off x=64883..97215,y=8011..22409,z=-7746..5012
off x=41971..72613,y=35196..51812,z=-44437..-29568
on x=-43711..-23568,y=-70680..-54720,z=-40601..-34077
on x=-16542..1141,y=52444..82672,z=43901..59221
off x=-68205..-59516,y=-32644..-18560,z=38606..52974
off x=61892..64269,y=-1452..11550,z=43516..54626
on x=-9354..26205,y=-95112..-73796,z=-12420..-2002
on x=68603..88449,y=14846..32027,z=-37275..-5964
off x=53228..69887,y=-46772..-36524,z=4431..20570
off x=-51220..-43549,y=22283..39913,z=-64534..-43506
on x=57172..86360,y=-26130..-709,z=16305..39032
on x=-17848..14974,y=46246..58941,z=-67550..-46292
off x=58035..63691,y=14876..34764,z=26962..57547
on x=-75787..-51262,y=-49064..-29353,z=16029..20922
on x=-4894..14726,y=-17046..5889,z=72075..84493
off x=33532..47782,y=-76307..-52222,z=-48923..-17755
on x=-13391..-5303,y=48245..70668,z=-63779..-49431
on x=-58930..-43507,y=20362..43248,z=48151..71704
on x=70149..92770,y=-9541..10644,z=-6635..28810
on x=31210..64948,y=-48006..-21611,z=40652..55871
on x=-28823..-7281,y=-9742..2492,z=-84876..-66370
off x=-19166..-9817,y=-80319..-52505,z=-47786..-27118
on x=17602..27875,y=13530..26359,z=60440..89349
on x=-45705..-19841,y=56915..86069,z=4943..32642
off x=68005..81155,y=-29765..-16005,z=-25061..-14900
on x=-65261..-52679,y=-66447..-52070,z=-28901..-7919
off x=-82161..-52284,y=-22502..9835,z=-63314..-33804
off x=-18121..-15979,y=-54614..-31740,z=51026..63778
on x=-73676..-54888,y=-49297..-18394,z=27558..33489
on x=28721..54510,y=-10030..-1313,z=-79605..-49555
off x=11053..31767,y=-32845..-23247,z=-80025..-56672
on x=-68386..-51398,y=27015..53165,z=31825..40319
on x=-7540..22589,y=59320..83712,z=-35089..-28351
off x=-48223..-32176,y=35378..59272,z=-66955..-50598
off x=-25574..-10518,y=27418..50238,z=-79559..-52513
on x=19175..51407,y=-26995..-9229,z=66692..72533
off x=-63090..-36602,y=16243..43718,z=46820..75911
on x=-18516..-9233,y=-48055..-28188,z=-82976..-60569
off x=14759..44490,y=-10730..11648,z=56458..82559
on x=23455..40535,y=15420..27229,z=-84600..-55189
on x=-48299..-36541,y=50431..73592,z=-19144..-1839
off x=-81344..-55459,y=20930..46304,z=-9345..14558
on x=47196..65637,y=30426..47615,z=-30228..-18046
off x=58163..83551,y=8867..26974,z=-35873..-11226
off x=6270..22771,y=37387..57400,z=36092..57663
off x=-35106..-25204,y=5350..15478,z=63386..77636
on x=47160..59650,y=-51193..-34124,z=10503..49733
on x=-14789..3340,y=60278..88977,z=28007..46842
off x=-6624..12635,y=-83183..-52792,z=29941..60688
off x=-26353..-19359,y=-78917..-53187,z=-49653..-42601
on x=-87135..-47727,y=-10772..8106,z=35265..44532
on x=-88740..-70750,y=-217..15347,z=12806..29839
off x=31685..53283,y=-81911..-47577,z=-25086..-18921
on x=46622..69887,y=-46629..-9525,z=-50166..-42612
off x=-15867..1880,y=-98763..-72090,z=-5368..10111
on x=-5912..22381,y=9151..27498,z=-80071..-60569
on x=8192..15221,y=73577..81728,z=-14163..6679
on x=-22509..4222,y=20798..51576,z=55267..78530
on x=-7460..16881,y=51061..76312,z=31500..60109
off x=63978..80332,y=-46479..-21214,z=17724..27861
off x=-48142..-29566,y=-768..38252,z=63177..77599
off x=-22352..-3879,y=-67212..-37828,z=-78347..-41751
on x=61414..72961,y=-45257..-28247,z=-33471..-19631
on x=-43526..-12688,y=57160..75937,z=9029..28586
on x=11342..37138,y=46690..59578,z=38233..55140
off x=13515..32899,y=47202..66072,z=47086..57782
on x=-19540..6334,y=-56308..-35255,z=-77753..-55523
on x=-41925..-12451,y=61066..74500,z=-26647..-15757
on x=60674..79986,y=-30792..-1210,z=-57275..-33857
off x=-18884..-7353,y=23448..56271,z=62374..74763
on x=-44386..-15359,y=25414..46534,z=-74182..-51840
on x=-36711..-20755,y=-67230..-45754,z=-56326..-24885
on x=72018..96153,y=16522..29738,z=-11147..2054
on x=5973..29852,y=55283..72301,z=42944..57136
off x=-50246..-27653,y=49043..67875,z=24129..45399
on x=-22284..-17636,y=21285..32831,z=65161..74363
off x=7735..17847,y=48454..54584,z=-60291..-42384
on x=56449..93303,y=12556..20734,z=-38611..-8545
off x=46038..71965,y=-31095..-14977,z=-53091..-36186
on x=53210..73760,y=18116..23448,z=12649..33378
off x=-83782..-50786,y=325..30910,z=36498..55449
on x=-11837..13836,y=-82566..-60770,z=-30914..-11896
off x=-13846..7560,y=72..21588,z=68481..86336
off x=-25685..-4603,y=29212..57708,z=-65410..-60517
off x=-79113..-60386,y=26862..39241,z=-4353..29483
off x=-19892..6771,y=51449..72628,z=23897..52090
off x=-71828..-53222,y=28667..43977,z=25709..37388
off x=28972..50612,y=2418..33040,z=-75017..-49640
off x=-23546..3296,y=68489..75275,z=-33316..-23806
off x=-46386..-30181,y=9760..24029,z=57523..67908
on x=-56316..-28882,y=48428..62993,z=-48907..-32191
on x=-19707..-779,y=-73947..-40756,z=31616..69601
off x=37761..59827,y=6067..16149,z=51785..66336
on x=30923..48572,y=52049..72728,z=10493..16555
on x=-26538..1937,y=-81450..-56187,z=23729..60276
off x=-48465..-28004,y=-90311..-56997,z=-9574..25785
off x=-47377..-28389,y=-52506..-37609,z=-57507..-36160
on x=-36148..-24926,y=-64369..-51420,z=-69537..-38270
off x=62650..82366,y=-28917..8638,z=44805..55648
off x=28149..41757,y=43594..62806,z=-38133..-32521
on x=-60752..-36491,y=38751..61565,z=-48382..-36761
off x=64344..99438,y=-18208..4375,z=-22825..-5665
on x=-51669..-27629,y=50339..66867,z=-41498..-24192
off x=25105..40249,y=62440..67046,z=21785..49918
on x=58750..91053,y=10035..24848,z=-42659..-12650
off x=-84762..-59511,y=-24289..1942,z=9634..24955
on x=-94933..-68735,y=-17490..292,z=-1579..16250
off x=-78894..-60509,y=-40495..-5011,z=32059..62300
off x=12870..39008,y=55250..64944,z=-51208..-30118
on x=2754..21460,y=-38868..-392,z=-93705..-64934
on x=18042..31269,y=-47061..-19873,z=52410..82608
on x=29379..68201,y=-51515..-41233,z=-45509..-34262
off x=52671..84684,y=-16898..5471,z=37071..45630
on x=-98677..-68218,y=-20295..4826,z=5421..30729
off x=-49508..-22500,y=-2847..20414,z=-69003..-50843
on x=-95062..-74272,y=9248..21864,z=-22635..1951
on x=7542..29789,y=-48009..-23225,z=-85578..-64378
off x=-45405..-37229,y=-83374..-62547,z=-17446..8556
off x=-45880..-27014,y=72506..92343,z=-5157..1778
on x=-30115..-2925,y=52679..71889,z=-68644..-48667
on x=-76029..-52766,y=-54478..-30765,z=-46175..-28566
